"SH4";"NCM_curto"
"8429";"Tratores"
"3004";"Medicamentos (exceto antisoros e vacinas)"
"8703";"Automóveis de passageiros, exceto vans e ônibus maiores)"
"8409";"Partes de motores"
"4011";"Pneus"
"8708";"Partes e Acessórios de Veículos"
"7112";"Resíduos de Metais Preciosos"
"3902";"Polímeros de Propileno"
"1602";"Preparações e Conservações de Carne"
"3901";"Polímeros de etileno"
"3808";"Inseticidas Agroquímicos"
"5402";"Fios de Filamento Sintéticos"
"2710";"Óleos de Petróleo ou de Minerais Betuminosos"
"2907";"Fenol "
"8421";"Centrifugadores"
"7228";"Barras de Aço"
"8414";"Bombas, Compressores, Ventiladores e Exautores de Ar ou de Vácuo"
"3401";"Sabões"
"2905";"Álcoois acíclicos e seus derivados"
"4811";"Papel"
"8483";"Veios de transmissão e manivelas"
"2915";"Ácidos monocarboxílicos"
"8501";"Motores e geradores elétricos"
"8413";"Bombas para líquidos"
"8511";"Aparelhos e dispositivos elétricos de ignição"
"3402";"Agentes orgânicos de superfície"
"7222";"Barras e perfis de aço inoxidável"
"3923";"Caixas para transporte de plástico"
"3208";"Tintas e vernizes"
"2914";"Cetonas e quinoas"
"4002";"Borracha"
"7115";"Obras de metais preciosos (ex: telas ou grades de platina)"
"7505";"Barras, perfis e fios de níquel"
"9032";"Aparelhos para controlo"
"8424";"Aparelhos mecânicos para pulverizar"
"5603";"Falsos tecidos"
"8503";"Partes de motores e geradores elétricos"
"8544";"Fios e cabos, isolados para usos elétricos"
"3909";"Resinas amínicas, resinas fenólicas e poliuretanos, em formas primárias"
"2917";"Ácidos policarboxílicos"
"2309";"Preparações utilizadas na alimentação de animais"
"3504";"Peptonas e seus derivados"
"2932";"Compostos heterocíclicos exclusivamente de hetero-átomos de oxigênio"
"3305";"Preparações capilares"
"8481";"Torneiras e válvulas"
"4012";"Pneus"
"3910";"Silicones"
"3824";"Aglutinantes preparados para moldes ou núcleos de fundição"
"3002";"Sangue humano e animal para uso terapeutico"
"2941";"Antibióticos"
"8433";"Máquinas para colheita de produtos agrícolas"
"1520";"Glicerol bruto"
"7318";"Parafusos, pinos, porcas, entre outros"
"8436";"Máquinas e aparelhos de agricultura"
"9028";"Controladores de gases"
"1905";"Produtos de padaria, pastelaria ou da indútria de bolachas e biscoitos"
"2811";"Outros ácidos inorgânicos e outros compostos oxigenados inorgânicos dos elementos não metálicos"
"2207";"Álcool etílico não desnaturado"
"9026";"Aparelhos para medida de vazão"
"8542";"Circuitos eletrônicos"
"3907";"Poliacetais"
"8473";"Partes de máquinas de escrever"
"8466";"Portas-peças para máquinas e ferramentas"
"3307";"Preparações para barbear"
"8517";"Aparelhos telefônicos"
"9403";"Outros móveis e suas partes"
"5201";"Algodão"
"3503";"Gelatinas e seus derivados"
"3920";"Chapas de polímeros de etileno"
"3919";"Chapas de plástico"
"3204";"Corantes orgânicos-sintéticos"
"3906";"Polímeros acrílicos"
"2843";"Metais preciosos"
"3926";"Artigos de escritório"
"804";"Tâmaras frescas ou secas"
"3823";"Ácido esteárico"
"4016";"Obras de borracha vulcanizada"
"8471";"Máquinas para processamento de dados"
"8512";"Aparelhos de iluminação em bicicletas"
"3815";"Catalisador em suprote"
"7320";"Molas de ferro"
"2106";"Concentrados de proteína"
"8419";"Aquecedores de água"
"9018";"Eletrocardiógrafos"
"7009";"Espelhos de vidro"
"3214";"Mástique de vidraceiros"
"8482";"Rolamentos de esferas"
"3811";"Preparações antidetonantes"
"3809";"Agentes de acabamento"
"7309";"Reservatórios de ferro"
"7312";"Cabos de ferro"
"8543";"Máquinas e aparelhos com função própria"
"8458";"Tornos para metais"
"8537";"Quadros para ditribuição de energia elétrica"
"1704";"Produtos de confeitaria sem cacau"
"8479";"Máquinas com função própria"
"8431";"Partes de motores elétricos"
