CO_MUN_GEO;NO_MUN;NO_MUN_MIN;CO_MUN_ATUALIZADOS
1718899;SANTA RITA DO TOCANTINS;Santa Rita do Tocantins;1718899
1718907;SANTA ROSA DO TOCANTINS;Santa Rosa do Tocantins;1718907
1100015;ALTA FLORESTA D'OESTE;Alta Floresta D'Oeste;1100015
1100023;ARIQUEMES;Ariquemes;1100023
1100031;CABIXI;Cabixi;1100031
1100049;CACOAL;Cacoal;1100049
1100056;CEREJEIRAS;Cerejeiras;1100056
1100064;COLORADO DO OESTE;Colorado do Oeste;1100064
1100072;CORUMBIARA;Corumbiara;1100072
1100080;COSTA MARQUES;Costa Marques;1100080
1100098;ESPIGAO D'OESTE;Espigão D'Oeste;1100098
1100106;GUAJARA-MIRIM;Guajará-Mirim;1100106
1100114;JARU;Jaru;1100114
1100122;JI-PARANA;Ji-Paraná;1100122
1100130;MACHADINHO D'OESTE;Machadinho D'Oeste;1100130
1100148;NOVA BRASILANDIA D'OESTE;Nova Brasilândia D'Oeste;1100148
1100155;OURO PRETO DO OESTE;Ouro Preto do Oeste;1100155
1100189;PIMENTA BUENO;Pimenta Bueno;1100189
1100205;PORTO VELHO;Porto Velho;1100205
1100254;PRESIDENTE MEDICI;Presidente Médici;1100254
1100262;RIO CRESPO;Rio Crespo;1100262
1100288;ROLIM DE MOURA;Rolim de Moura;1100288
1100296;SANTA LUZIA D'OESTE;Santa Luzia D'Oeste;1100296
1100304;VILHENA;Vilhena;1100304
1100320;SAO MIGUEL DO GUAPORE;São Miguel do Guaporé;1100320
1100338;NOVA MAMORE;Nova Mamoré;1100338
1100346;ALVORADA D'OESTE;Alvorada D'Oeste;1100346
1100379;ALTO ALEGRE DOS PARECIS;Alto Alegre dos Parecis;1100379
1100403;ALTO PARAISO;Alto Paraíso;1100403
1100452;BURITIS;Buritis;1100452
1100502;NOVO HORIZONTE DO OESTE;Novo Horizonte do Oeste;1100502
1100601;CACAULANDIA;Cacaulândia;1100601
1100700;CAMPO NOVO DE RONDONIA;Campo Novo de Rondônia;1100700
1100809;CANDEIAS DO JAMARI;Candeias do Jamari;1100809
1100908;CASTANHEIRAS;Castanheiras;1100908
1100924;CHUPINGUAIA;Chupinguaia;1100924
1100940;CUJUBIM;Cujubim;1100940
1101005;GOVERNADOR JORGE TEIXEIRA;Governador Jorge Teixeira;1101005
1101104;ITAPUA DO OESTE;Itapuã do Oeste;1101104
1101203;MINISTRO ANDREAZZA;Ministro Andreazza;1101203
1101302;MIRANTE DA SERRA;Mirante da Serra;1101302
1101401;MONTE NEGRO;Monte Negro;1101401
1101435;NOVA UNIAO;Nova União;1101435
1101450;PARECIS;Parecis;1101450
1101468;PIMENTEIRAS DO OESTE;Pimenteiras do Oeste;1101468
1101476;PRIMAVERA DE RONDONIA;Primavera de Rondônia;1101476
1101484;SAO FELIPE D'OESTE;São Felipe D'Oeste;1101484
1101492;SAO FRANCISCO DO GUAPORE;São Francisco do Guaporé;1101492
1101500;SERINGUEIRAS;Seringueiras;1101500
1101559;TEIXEIROPOLIS;Teixeirópolis;1101559
1101609;THEOBROMA;Theobroma;1101609
1101708;URUPA;Urupá;1101708
1101757;VALE DO ANARI;Vale do Anari;1101757
1101807;VALE DO PARAISO;Vale do Paraíso;1101807
1200013;ACRELANDIA;Acrelândia;1200013
1200054;ASSIS BRASIL;Assis Brasil;1200054
1200104;BRASILEIA;Brasiléia;1200104
1200138;BUJARI;Bujari;1200138
1200179;CAPIXABA;Capixaba;1200179
1200203;CRUZEIRO DO SUL;Cruzeiro do Sul;1200203
1200252;EPITACIOLANDIA;Epitaciolândia;1200252
1200302;FEIJO;Feijó;1200302
1200328;JORDAO;Jordão;1200328
1200336;MANCIO LIMA;Mâncio Lima;1200336
1200344;MANOEL URBANO;Manoel Urbano;1200344
1200351;MARECHAL THAUMATURGO;Marechal Thaumaturgo;1200351
1200385;PLACIDO DE CASTRO;Plácido de Castro;1200385
1200393;PORTO WALTER;Porto Walter;1200393
1200401;RIO BRANCO;Rio Branco;1200401
1200427;RODRIGUES ALVES;Rodrigues Alves;1200427
1200435;SANTA ROSA DO PURUS;Santa Rosa do Purus;1200435
1200450;SENADOR GUIOMARD;Senador Guiomard;1200450
1200500;SENA MADUREIRA;Sena Madureira;1200500
1200609;TARAUACA;Tarauacá;1200609
1200708;XAPURI;Xapuri;1200708
1200807;PORTO ACRE;Porto Acre;1200807
1300029;ALVARAES;Alvarães;1300029
1300060;AMATURA;Amaturá;1300060
1300086;ANAMA;Anamã;1300086
1300102;ANORI;Anori;1300102
1300144;APUI;Apuí;1300144
1300201;ATALAIA DO NORTE;Atalaia do Norte;1300201
1300300;AUTAZES;Autazes;1300300
1300409;BARCELOS;Barcelos;1300409
1300508;BARREIRINHA;Barreirinha;1300508
1300607;BENJAMIN CONSTANT;Benjamin Constant;1300607
1300631;BERURI;Beruri;1300631
1300680;BOA VISTA DO RAMOS;Boa Vista do Ramos;1300680
1300706;BOCA DO ACRE;Boca do Acre;1300706
1300805;BORBA;Borba;1300805
1300839;CAAPIRANGA;Caapiranga;1300839
1300904;CANUTAMA;Canutama;1300904
1301001;CARAUARI;Carauari;1301001
1301100;CAREIRO;Careiro;1301100
1301159;CAREIRO DA VARZEA;Careiro da Várzea;1301159
1301209;COARI;Coari;1301209
1301308;CODAJAS;Codajás;1301308
1301407;EIRUNEPE;Eirunepé;1301407
1301506;ENVIRA;Envira;1301506
1301605;FONTE BOA;Fonte Boa;1301605
1301654;GUAJARA;Guajará;1301654
1301704;HUMAITA;Humaitá;1301704
1301803;IPIXUNA;Ipixuna;1301803
1301852;IRANDUBA;Iranduba;1301852
1301902;ITACOATIARA;Itacoatiara;1301902
1301951;ITAMARATI;Itamarati;1301951
1302009;ITAPIRANGA;Itapiranga;1302009
1302108;JAPURA;Japurá;1302108
1302207;JURUA;Juruá;1302207
1302306;JUTAI;Jutaí;1302306
1302405;LABREA;Lábrea;1302405
1302504;MANACAPURU;Manacapuru;1302504
1302553;MANAQUIRI;Manaquiri;1302553
1302603;MANAUS;Manaus;1302603
1302702;MANICORE;Manicoré;1302702
1302801;MARAA;Maraã;1302801
1302900;MAUES;Maués;1302900
1303007;NHAMUNDA;Nhamundá;1303007
1303106;NOVA OLINDA DO NORTE;Nova Olinda do Norte;1303106
1303205;NOVO AIRAO;Novo Airão;1303205
1303304;NOVO ARIPUANA;Novo Aripuanã;1303304
1303403;PARINTINS;Parintins;1303403
1303502;PAUINI;Pauini;1303502
1303536;PRESIDENTE FIGUEIREDO;Presidente Figueiredo;1303536
1303569;RIO PRETO DA EVA;Rio Preto da Eva;1303569
