"CO_ANO";"CO_MES";"VL_EXP";"VL_IMP"
2013;1;383811386;1170039536
2013;2;355013594;982948863
2013;3;375441572;1195343948
2013;4;464873997;1261176427
2013;5;420589428;1189756661
2013;6;400404505;1295184787
2013;7;419718881;1446350720
2013;8;438391005;1339932618
2013;9;400825897;1419662916
2013;10;429835232;1470504303
2013;11;406869405;1225267739
2013;12;383611862;988522596
2014;1;309230750;1247470616
2014;2;351788475;1028004963
2014;3;337395251;1128048771
2014;4;345426340;1193103937
2014;5;431159075;1268115556
2014;6;353956287;1256593712
2014;7;421688956;1318994016
2014;8;375294848;1451997397
2014;9;376300654;1226184097
2014;10;391805638;1362569160
2014;11;323903851;1126306626
2014;12;352970772;938835983
2015;1;242274548;1001964385
2015;2;276882509;976743377
2015;3;350808097;1080962538
2015;4;314534666;1091316583
2015;5;302178894;969475147
2015;6;355984868;1038302077
2015;7;358196489;1208398011
2015;8;340075175;1034994539
2015;9;333853268;916248954
2015;10;332218786;1091197716
2015;11;300477031;945321920
2015;12;327135914;720712067
2016;1;222941485;841436409
2016;2;262568347;700984000
2016;3;310303290;797632556
2016;4;277285794;741416121
2016;5;319302657;848987785
2016;6;310530411;866990456
2016;7;300956121;949597253
2016;8;349169431;1093150453
2016;9;351463551;902700372
2016;10;344562689;982138024
2016;11;346739667;853353601
2016;12;378811679;753117980
2017;1;313350293;857793630
2017;2;306191159;664667448
2017;3;381631278;915002757
2017;4;354785457;784771779
2017;5;382965195;1016008321
2017;6;375062777;1013743396
2017;7;348868058;1114415829
2017;8;427317234;1160477778
2017;9;406360594;1253777685
2017;10;439786088;1118084314
2017;11;391708051;1045328618
2017;12;375150492;871888975
2018;1;365668687;1042061848
2018;2;385016209;883445735
2018;3;420310137;946923364
2018;4;400573940;1000366881
2018;5;294777735;1038904827
2018;6;369177390;1080790249
2018;7;343742204;1194266468
2018;8;453214668;1310270789
2018;9;454114385;1158790690
2018;10;427906458;1217494748
2018;11;379176193;1131217435
2018;12;446259153;892178080
2019;1;305419772;1157494240
2019;2;331839094;914367548
2019;3;365530615;1011260036
2019;4;390180330;1127802760
2019;5;364193273;1252449341
2019;6;349583751;1079327877
2019;7;403142118;1324684487
2019;8;443508072;1208518993
2019;9;410743395;1242691268
2019;10;377953231;1373820120
2019;11;366935982;1095266362
2019;12;363044060;906359894
2020;1;268462148;1113130341
2020;2;290902985;885057266
2020;3;311599475;1037291578
2020;4;239274823;889654930
2020;5;224170520;870225884
2020;6;239074225;995918351
2020;7;300955001;1041239016
2020;8;300980092;1057310822
2020;9;298962527;1137330337
2020;10;317083655;1121537288
2020;11;339882653;1143492295
2020;12;339443259;1010354372
2021;1;270241259;1054656196
2021;2;298480288;1007401833
2021;3;367904407;1279049117
2021;4;376370004;1035186811
2021;5;453051745;1257714767
2021;6;384099060;1254210938
2021;7;408677396;1394070532
2021;8;447768787;1440671272
2021;9;459524529;1412218704
2021;10;406323894;1341164233
2021;11;405498934;1357099866
2021;12;432405928;1210559066
2022;1;317710576;1207013708
2022;2;384128247;1280884714
2022;3;463835412;1429137710
2022;4;498194723;1287838339
2022;5;525315714;1592530305
2022;6;555173149;1637672270
2022;7;477697123;1790429676
2022;8;542627523;1850672602
2022;9;485129880;1743560528
2022;10;473047280;1747274458
2022;11;447706982;1465025656
2022;12;413803088;1299982243
2023;1;431684170;1293111460
2023;2;376467775;990009644
2023;3;509731278;1333135291
2023;4;465952129;1211584484
2023;5;523818009;1192563604
